,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
67,The Lobster,"Comedy, Drama, Romance",119,2015,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",191119,8.70,7.1,82.0
68,Bridesmaids,"Comedy, Romance",125,2011,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",253744,169.11,6.8,75.0
70,Aladdin,"Animation, Adventure, Comedy",90,1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,337280,217.35,8.0,86.0
71,Amélie,"Comedy, Romance",122,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",664976,33.23,8.3,69.0
73,Wedding Crashers,"Comedy, Romance",119,2005,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",318595,209.22,6.9,64.0
74,Pride and Prejudice and Zombies,"Action, Comedy, Fantasy",108,2016,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,47607,10.91,5.8,45.0
75,The Graduate,"Comedy, Drama, Romance",106,1967,A disillusioned college graduate finds himself torn between his older lover and her daughter.,241955,104.95,8.0,83.0
76,The Love Witch,"Comedy, Horror, Romance",120,2016,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",10315,0.23,6.2,82.0
78,The Princess and the Frog,"Animation, Adventure, Comedy",97,2009,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",113207,104.40,7.1,73.0
79,Just Go with It,"Comedy, Romance",117,2011,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",206373,103.03,6.4,33.0
81,Popeye,"Adventure, Comedy, Family",114,1980,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.,27501,49.82,5.2,64.0
82,He's Just Not That Into You,"Comedy, Drama, Romance",129,2009,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,152415,93.95,6.4,47.0
