,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
342,Grosse Pointe Blank,"Action, Comedy, Crime",107,1997,"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",83688,28.01,7.3,76.0
344,The Princess Diaries 2: Royal Engagement,"Comedy, Family, Romance",113,2004,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",69224,95.17,5.8,43.0
346,Say Anything...,"Comedy, Drama, Romance",100,1989,A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.,77839,20.78,7.3,85.0
347,Bridget Jones's Baby,"Comedy, Drama, Romance",123,2016,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.",62253,24.25,6.5,59.0
348,The Wedding Planner,"Comedy, Romance",103,2001,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,72071,60.40,5.3,33.0
349,My Big Fat Greek Wedding,"Comedy, Drama, Romance",95,2002,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,114982,241.44,6.5,62.0
352,Maid in Manhattan,"Comedy, Drama, Romance",105,2002,"A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress.",80180,94.01,5.2,45.0
357,Paper Towns,"Comedy, Drama, Mystery",109,2015,"After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",89657,32.00,6.3,56.0
358,Ice Age: Collision Course,"Animation, Adventure, Comedy",94,2016,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",50848,64.06,5.7,34.0
359,Freaky Friday,"Comedy, Family, Fantasy",97,2003,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",117348,110.23,6.1,70.0
361,This Means War,"Action, Comedy, Romance",103,2012,A pair of C.I.A. operatives wage an epic battle against one another when they discover they are dating the same woman.,169574,54.76,6.3,31.0
363,Life as We Know It,"Comedy, Drama, Romance",114,2010,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,115154,53.37,6.5,39.0
364,How Do You Know,"Comedy, Drama, Romance",121,2010,"After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",41854,30.21,5.4,46.0
366,Modern Times,"Comedy, Drama, Family",87,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,197672,0.16,8.5,96.0
368,What Women Want,"Comedy, Fantasy, Romance",127,2000,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",183118,182.81,6.4,47.0
369,"I Love You, Man","Comedy, Romance",105,2009,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",187542,71.44,7.0,70.0
370,10,"Comedy, Romance",122,1979,"A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.",14274,74.87,6.1,68.0
371,Before We Go,"Comedy, Drama, Romance",95,2014,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,47020,0.04,6.8,31.0
372,Mermaids,"Comedy, Drama, Romance",110,1990,"An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.",26807,35.42,6.7,56.0
374,Patch Adams,"Biography, Comedy, Drama",115,1998,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",97570,135.03,6.8,25.0
375,It's Complicated,"Comedy, Drama, Romance",120,2009,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",82150,112.74,6.5,57.0
377,Reality Bites,"Comedy, Drama, Romance",99,1994,"A documentary filmmaker and her fellow Gen X graduates face life after college, looking for work and love in Houston.",43104,20.98,6.6,67.0
379,Out of Sight,"Comedy, Crime, Drama",123,1998,"A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.",80941,37.56,7.0,85.0
380,Sleeping with Other People,"Comedy, Drama, Romance",101,2015,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",37104,0.81,6.5,64.0
381,Bewitched,"Comedy, Fantasy, Romance",102,2005,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom",66169,62.25,4.8,34.0
382,Gloria Bell,"Comedy, Drama, Romance",102,2018,A free-spirited woman in her 50s seeks out love at L.A. dance clubs.,6269,5.61,6.4,79.0
383,Bedtime Stories,"Comedy, Family, Fantasy",99,2008,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,83814,110.10,6.0,33.0
385,Ella Enchanted,"Comedy, Family, Fantasy",96,2004,"Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling.",58349,22.92,6.2,53.0
387,Explorers,"Adventure, Comedy, Family",109,1985,"A boy obsessed with 50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now what?",18347,9.87,6.6,58.0
388,Wanderlust,"Comedy, Romance",98,2012,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",70023,17.23,5.6,53.0
389,Penelope,"Comedy, Fantasy, Romance",104,2006,"A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will accept her as one of their own.""",58046,10.01,6.7,48.0
394,Cashback,"Comedy, Drama, Romance",102,2006,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",80411,0.02,7.2,54.0
396,The American President,"Comedy, Drama, Romance",114,1995,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",49032,65.00,6.8,67.0
397,Never Been Kissed,"Comedy, Drama, Romance",107,1999,A newspaper reporter enrolls in high school as part of research for a story.,78803,55.47,6.0,60.0
398,Failure to Launch,"Comedy, Romance",97,2006,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,68630,88.72,5.6,47.0
400,Happy Feet,"Animation, Adventure, Comedy",108,2006,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",160555,198.00,6.4,77.0
401,Chasing Amy,"Comedy, Drama, Romance",113,1997,"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",126994,12.01,7.2,71.0
402,The Little Hours,"Comedy, Romance",90,2017,"In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.",16619,1.65,5.8,69.0
403,Take Me Home Tonight,"Comedy, Drama, Romance",97,2011,"Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush.",49311,6.92,6.3,42.0
404,The Hottie & the Nottie,"Comedy, Romance",91,2008,A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.,35598,0.03,1.9,7.0
406,The War of the Roses,"Comedy, Romance",116,1989,A married couple try everything to get each other to leave the house in a vicious divorce battle.,45305,86.89,6.8,79.0
407,Morning Glory,"Comedy, Drama, Romance",107,2010,An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.,68941,31.01,6.5,57.0
408,Moonstruck,"Comedy, Drama, Romance",102,1987,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",44970,80.64,7.1,83.0
409,Pushing Tin,"Comedy, Drama, Romance",124,1999,"A feud develops between two air traffic controllers: one cocky and determined while the other is restrained and laidback, which inevitably affects their lives.",27295,8.41,6.0,47.0
410,While You Were Sleeping,"Comedy, Drama, Romance",103,1995,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,85710,81.06,6.7,67.0
411,Serendipity,"Comedy, Romance",90,2001,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",99193,50.29,6.9,52.0
412,Home for the Holidays,"Comedy, Drama, Romance",103,1995,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",10935,17.52,6.6,56.0
413,Meet the Fockers,"Comedy, Romance",115,2004,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,241335,279.26,6.3,41.0
416,The Sisterhood of the Traveling Pants,"Comedy, Drama, Romance",119,2005,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,51700,39.01,6.5,66.0
418,What If,"Comedy, Romance",98,2013,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",65782,3.45,6.8,59.0
421,In Good Company,"Comedy, Drama, Romance",109,2004,A middle-aged ad exec is faced with a new boss who's nearly half his age... and who also happens to be sleeping with his daughter.,52233,45.49,6.4,66.0
423,Lars and the Real Girl,"Comedy, Drama, Romance",106,2007,A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.,132934,5.97,7.3,70.0
424,Mystic Pizza,"Comedy, Drama, Romance",104,1988,Three teenage girls come of age while working at a pizza parlor in the Connecticut town of Mystic.,22981,12.79,6.2,60.0
425,Lucas,"Comedy, Drama, Romance",100,1986,"A socially inept fourteen-year-old experiences heartbreak for the first time when his two best friends - Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love - fall for each other.",13719,8.20,6.9,75.0
426,The Secret of My Success,"Comedy, Romance",111,1987,"A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life.",27520,67.00,6.5,36.0
430,Chungking Express,"Comedy, Crime, Drama",102,1994,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",54900,0.60,8.1,77.0
431,Sabrina,"Comedy, Drama, Romance",127,1995,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",34524,53.67,6.3,56.0
432,Robin Hood,"Animation, Adventure, Comedy",83,1973,The story of the legendary outlaw is portrayed with the characters as humanoid animals.,106527,32.06,7.6,57.0
434,Summer '03,"Comedy, Drama, Romance",95,2018,A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,1900,17.52,5.4,45.0
435,Ghost Town,"Comedy, Drama, Fantasy",102,2008,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",66657,13.21,6.7,72.0
436,Teen Witch,"Comedy, Fantasy, Romance",90,1989,"High school misfit Louise, at a loss for romance, discovers magical abilities, but the teenage witch finds that she cannot conjure herself true love, so what?",7726,0.03,6.1,46.0
437,The Break-Up,"Comedy, Drama, Romance",106,2006,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",119151,118.70,5.8,45.0
439,The Heartbreak Kid,"Comedy, Romance",116,2007,A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon.,81238,36.79,5.8,46.0
440,Van Wilder: Party Liaison,"Comedy, Romance",92,2002,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.,99575,21.01,6.4,26.0
441,Unaccompanied Minors,"Adventure, Comedy, Family",90,2006,A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,9801,16.65,5.3,43.0
442,Damsel,"Adventure, Comedy, Crime",113,2018,"It's the Wild West, circa 1870. Samuel Alabaster, an affluent pioneer, ventures across the American frontier to marry the love of his life, Penelope. As his group traverses the west, the once-simple journey grows treacherous, blurring the lines between hero, villain and damsel.",2716,0.31,5.5,63.0
443,The Family Man,"Comedy, Drama, Fantasy",125,2000,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",98179,75.79,6.8,42.0
446,A Good Year,"Comedy, Drama, Romance",117,2006,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",83799,7.46,7.0,47.0
449,The Big Wedding,"Comedy, Drama, Romance",89,2013,A long-divorced couple fakes being married as their family unites for a wedding.,45008,21.78,5.6,28.0
450,Nobody's Fool,"Comedy, Drama, Romance",110,2018,A woman is released from prison and reunites with her sister. She soon discovers that her sister is in an online relationship with a man who may not be what he seems.,4576,31.71,4.7,39.0
451,MacGruber,"Action, Comedy, Romance",90,2010,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.",40532,8.46,5.5,43.0
452,Mr. Deeds,"Comedy, Romance",96,2002,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",129327,126.29,5.8,24.0
454,Cocktail,"Comedy, Drama, Romance",104,1988,A talented New York City bartender takes a job at a bar in Jamaica and falls in love.,75343,78.22,5.9,12.0
455,The Wedding Date,"Comedy, Romance",90,2005,"Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",45989,31.73,6.2,32.0
457,The Road to El Dorado,"Animation, Adventure, Comedy",89,2000,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",77292,50.86,6.9,51.0
460,Killers,"Action, Comedy, Romance",100,2010,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple..",83441,47.06,5.4,21.0
461,The Pink Panther,"Comedy, Crime, Romance",115,1963,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".",45351,10.88,7.1,55.0
464,Hairspray,"Comedy, Drama, Family",92,1988,A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,18800,6.67,6.9,77.0
465,Bride Wars,"Comedy, Romance",89,2009,Two best friends become rivals when they schedule their respective weddings on the same day.,95997,58.72,5.5,24.0
467,What a Girl Wants,"Comedy, Drama, Family",105,2003,"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.",56028,35.99,5.8,41.0
468,Get Over It,"Comedy, Romance",87,2001,A high school senior's girlfriend breaks up with him. His friends try to make him think of something else. His friend's sister Kelly helps him with the school musical. Spending time with Kelly has an effect.,17282,11.56,5.7,52.0
470,Dirty Love,"Comedy, Romance",91,2005,A jilted photographer sets off on a mission to get back at her philandering model boyfriend and along the way discovers that not all love is created equal.,6659,0.06,3.6,9.0
473,Dan in Real Life,"Comedy, Drama, Romance",98,2007,A widower finds out the woman he fell in love with is his brother's girlfriend.,94658,47.64,6.7,65.0
474,Sleepover,"Comedy, Family, Romance",89,2004,"Four best friends, desperate to improve their social status, enter into an all-night scavenger hunt against the popular clique in their school.",14585,9.44,5.3,33.0
475,Earth Girls Are Easy,"Comedy, Musical, Romance",100,1988,A Southern California girl befriends three furry aliens after their spaceship lands in her swimming pool.,19008,3.92,5.3,66.0
479,Elizabethtown,"Comedy, Drama, Romance",123,2005,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",65053,26.84,6.4,45.0
482,Along Came Polly,"Comedy, Romance",90,2004,A buttoned up newlywed finds his too organized life falling into chaos when he falls in love with an old classmate.,120161,88.10,5.9,44.0
483,Paint Your Wagon,"Comedy, Drama, Musical",164,1969,Two unlikely prospector partners share the same wife in a California gold rush mining town.,11327,31.68,6.6,50.0
484,Hitchcock,"Biography, Comedy, Drama",98,2012,The relationship between,69145,6.01,6.8,55.0
485,Sherlock Gnomes,"Animation, Adventure, Comedy",86,2018,"Garden gnomes, Gnomeo and Juliet, recruit renowned detective Sherlock Gnomes to investigate the mysterious disappearance of other garden ornaments.",8703,43.24,5.1,36.0
486,Meet the Parents,"Comedy, Romance",108,2000,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",296762,166.24,7.0,73.0
487,Hair,"Comedy, Drama, Musical",121,1979,"Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.",32920,15.28,7.6,68.0
489,Scrooged,"Comedy, Drama, Fantasy",101,1988,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",78616,60.33,7.0,38.0
490,Confessions of a Dangerous Mind,"Biography, Comedy, Crime",113,2002,"An adaptation of the cult memoir of game show impresario Chuck Barris, in which he purports to have been a CIA hitman.",80048,16.00,7.0,67.0
491,Just One of the Guys,"Comedy, Romance",100,1985,"Terry feels discriminated against when the summer jobs at Sun Tribune go to 2 guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him"".",12740,11.50,6.5,57.0
492,Manhattan,"Comedy, Drama, Romance",96,1979,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,123882,45.70,7.9,83.0
493,The Rules of Attraction,"Comedy, Drama, Romance",110,2002,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",48062,6.53,6.7,50.0
494,Stuck in Love.,"Comedy, Drama, Romance",97,2012,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",79862,0.08,7.2,49.0
495,The Woman in Red,"Comedy, Romance",87,1984,"On his way to work, Teddy spots Charlotte, an incredibly beautiful Woman in Red. He really wants to meet her, but what would his wife say?",12912,25.30,5.9,55.0
496,The First Time,"Comedy, Drama, Romance",95,2012,A shy senior and a down-to-earth junior fall in love over one weekend.,63508,0.02,6.8,55.0
497,Bend It Like Beckham,"Comedy, Drama, Romance",112,2002,The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.,100403,32.54,6.6,66.0
498,City Lights,"Comedy, Drama, Romance",87,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",152522,0.02,8.5,99.0
499,Junior,"Comedy, Romance, Sci-Fi",109,1994,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",61943,36.76,4.6,59.0
500,Going the Distance,"Comedy, Romance",102,2010,A romantic comedy centered on a guy and a gal who try to keep their love alive as they shuttle back and forth between New York and San Francisco to see one another.,54985,17.80,6.3,51.0
502,Summer School,"Comedy, Romance",97,1987,"Freddy the gym teacher has to teach remedial English in summer (high) school, if he wants tenure. As he can only teach gym and his students want fun, emphasis is on ""field trips"" - until he's fired unless all his students pass the test.",16024,35.66,6.6,27.0
503,A Man Called Ove,"Comedy, Drama, Romance",116,2015,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",41138,3.36,7.7,70.0
505,Charade,"Comedy, Mystery, Romance",113,1963,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,61871,13.47,7.9,83.0
506,Tammy,"Comedy, Romance",97,2014,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",45278,84.53,4.9,39.0
508,What's Your Number?,"Comedy, Romance",106,2011,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,69033,14.01,6.1,35.0
509,The Object of My Affection,"Comedy, Drama, Romance",111,1998,"A pregnant New York City social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",17879,29.11,6.0,51.0
510,Duck Butter,"Comedy, Drama, Romance",93,2018,"Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.",2220,0.01,5.3,58.0
512,The Lizzie McGuire Movie,"Adventure, Comedy, Family",94,2003,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",33684,42.67,5.5,56.0
513,Valley Girl,"Comedy, Romance",99,1983,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends.",12077,16.80,6.4,66.0
514,The Mexican,"Adventure, Comedy, Crime",123,2001,"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",98632,66.81,6.1,43.0
515,Breaking Away,"Comedy, Drama, Romance",101,1979,A small-town boy obsessed with the Italian cycling team vies for the affections of a college girl.,20465,16.42,7.7,91.0
517,Chasing Liberty,"Comedy, Romance",111,2004,Anna wants to be like other girls her age (18): date a guy etc. but she's the US president's daughter and always guarded. In Prague he breaks his promise of only 2 agents following her to a concert and she runs away with Ben to see Europe.,34787,12.19,6.1,46.0
520,Casanova,"Adventure, Comedy, Drama",112,2005,The fabled romantic,50048,11.29,6.5,57.0
522,Heartbreakers,"Comedy, Crime, Romance",123,2001,A mother and daughter con team seduce and scam wealthy men.,49296,40.34,6.2,47.0
524,Mortdecai,"Action, Comedy, Crime",107,2015,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",62673,7.61,5.5,27.0
525,When in Rome,"Comedy, Romance",91,2010,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",58039,32.67,5.6,25.0
526,One Crazy Summer,"Comedy, Romance",93,1986,An aspiring teenage cartoonist and his friends come to the aid of a singer trying to save her family property from developers.,13072,13.43,6.5,47.0
527,Table 19,"Comedy, Drama, Romance",87,2017,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19.",23793,3.61,5.8,40.0
528,Non-Fiction,"Comedy, Drama, Romance",108,2018,"Set in the Parisian publishing world, an editor and an author find themselves in over their heads, as they cope with a middle-age crisis, the changing industry and their wives.",2771,0.70,6.6,79.0
529,No Reservations,"Comedy, Drama, Romance",104,2007,The life of a top chef changes when she becomes the guardian of her young niece.,67527,43.11,6.3,50.0
531,House Party,"Comedy, Music, Romance",100,1990,"Kid decides to go to his friend Play's house party, but neither of them can predict what's in store for them on what could be the wildest night of their lives.",12158,26.39,6.4,76.0
533,Father of the Bride,"Comedy, Family, Romance",105,1991,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.",64383,89.33,6.5,51.0
535,The Diary of a Teenage Girl,"Comedy, Drama, Romance",102,2015,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,27612,1.48,6.9,87.0
537,Playing for Keeps,"Comedy, Romance, Sport",105,2012,A former sports star who's fallen on hard times starts coaching his son's soccer team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive soccer moms who pursue him at every turn.,27682,13.10,5.7,27.0
538,Anomalisa,"Animation, Comedy, Drama",90,2015,A man crippled by the mundanity of his life experiences something out of the ordinary.,59741,3.76,7.3,88.0
540,Blast from the Past,"Comedy, Drama, Romance",112,1999,A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.,56487,26.49,6.6,48.0
541,Garden State,"Comedy, Drama, Romance",102,2004,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,202482,26.78,7.4,67.0
542,Bull Durham,"Comedy, Romance, Sport",108,1988,A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,44579,50.89,7.1,73.0
543,Blame It on Rio,"Comedy, Romance",100,1984,Best friends and their daughters vacation in Rio de Janeiro only for one to fall for the other's daughter.,9386,18.64,5.8,22.0
545,Gigli,"Comedy, Crime, Romance",121,2003,Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.,44934,6.07,2.5,18.0
546,Lady and the Tramp,"Animation, Adventure, Comedy",76,1955,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,112419,93.60,7.3,78.0
548,Benny & Joon,"Comedy, Drama, Romance",98,1993,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,52318,23.20,7.2,57.0
549,Fool's Gold,"Action, Adventure, Comedy",112,2008,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,69538,70.23,5.7,29.0
552,Under the Tuscan Sun,"Comedy, Drama, Romance",113,2003,A writer impulsively buys a villa in Tuscany in order to change her life.,44076,43.61,6.7,52.0
553,Izzy Gets the Fuck Across Town,"Comedy, Drama, Music",86,2017,A woman at rock bottom must find her way across Los Angeles in order to crash her ex-boyfriend's engagement party.,1209,0.03,5.4,51.0
554,Back to School,"Comedy, Romance, Sport",96,1986,"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",26116,91.26,6.6,68.0
555,Zookeeper,"Comedy, Family, Fantasy",102,2011,"A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious.",53688,80.36,5.2,30.0
556,Grumpy Old Men,"Comedy, Drama, Romance",103,1993,A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.,40554,70.17,7.0,53.0
557,Catch and Release,"Comedy, Drama, Romance",124,2006,A woman struggles to accept the death of her fiancé and the secrets he kept from her as she rebuilds her life.,22623,15.27,6.0,43.0
558,Larry Crowne,"Comedy, Drama, Romance",98,2011,"After losing his job, a middle-aged man reinvents himself by going back to college.",60006,35.61,6.1,41.0
559,The Invention of Lying,"Comedy, Fantasy, Romance",100,2009,"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.",108813,18.44,6.3,58.0
560,Deuce Bigalow: Male Gigolo,"Comedy, Romance",88,1999,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",67609,65.54,5.7,30.0
561,The Five-Year Engagement,"Comedy, Romance",124,2012,"One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together.",89504,28.84,6.2,62.0
562,To Rome with Love,"Comedy, Music, Romance",112,2012,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",80499,16.69,6.3,54.0
563,Ghosts of Girlfriends Past,"Comedy, Fantasy, Romance",100,2009,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",79029,55.25,5.8,34.0
566,About Last Night,"Comedy, Romance",100,2014,Follow two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.,21450,48.64,6.1,62.0
