Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
Footloose,"
Comedy, Drama, Music            ",113 min,(2011),"
    City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.","44,001",$51.80M,5.9,58        
Don Jon,"
Comedy, Drama, Romance            ",90 min,(2013),"
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.","219,077",$24.48M,6.5,66        
Groundhog Day,"
Comedy, Fantasy, Romance            ",101 min,(1993),"
    A weatherman finds himself inexplicably living the same day over and over again.","549,952",$70.91M,8.0,72        
Breakfast at Tiffany's,"
Comedy, Drama, Romance            ",115 min,(1961),"
    A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.","154,357",,7.7,76        
iCarly,"
Comedy, Family, Romance            ",30 min,(2007–2012),"
    Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular Web casts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.","29,674",,6.6,
I'll See You in My Dreams,"
Comedy, Drama, Romance            ",92 min,(2015),"
    A widow and former songstress discovers that life can begin anew at any age.","6,414",$7.43M,6.7,75        
The Wonder Years,"
Comedy, Drama, Family            ",22 min,(1988–1993),"
    Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting.","32,290",,8.3,
Mr. Right,"
Action, Comedy, Romance            ",95 min,(I) (2015),"
    A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.","43,624",$0.03M,6.3,52        
Shrek 2,"
Animation, Adventure, Comedy            ",93 min,(2004),"
    Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.","391,944",$436.47M,7.2,75        
Mike and Dave Need Wedding Dates,"
Comedy, Romance            ",98 min,(2016),"
    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.","77,085",$46.01M,6.0,51        
Good Luck Chuck,"
Comedy, Romance            ",96 min,(2007),"
    In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love.","82,548",$34.93M,5.6,19        
Now and Then,"
Comedy, Drama, Romance            ",100 min,(1995),"
    Four 12-year-old girls grow up together during an eventful small-town summer in 1970.","25,573",$27.40M,6.8,
Misfits,"
Comedy, Drama, Fantasy            ",60 min,(2009–2013),"
    A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.","87,856",,8.2,
The Love Boat,"
Comedy, Drama, Romance            ",60 min,(1977–1987),"
    The romantic and comic tales of the passengers and crew of the cruise ship, Pacific Princess.","7,999",,6.1,
The Secret Life of Walter Mitty,"
Comedy, Drama, Fantasy            ",114 min,(2013),"
    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.","279,759",$58.24M,7.3,54        
500 Days of Summer,"
Comedy, Drama, Romance            ",95 min,(2009),"
    An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","448,513",$32.39M,7.7,76        
Sword Art Online,"
Animation, Action, Adventure            ",24 min,(2012– ),"
    In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","30,943",,7.7,
Big,"
Comedy, Drama, Fantasy            ",104 min,(1988),"
    After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.","183,722",$114.97M,7.3,73        
Robin Hood: Men in Tights,"
Adventure, Comedy, Musical            ",104 min,(1993),"
    A spoof of Robin Hood in general, and ","109,542",$35.74M,6.7,44        
Keeping the Faith,"
Comedy, Drama, Romance            ",128 min,(2000),"
    Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.","48,311",$37.05M,6.3,60        
Overboard,"
Comedy, Romance            ",112 min,(2018),"
    After a spoiled, wealthy yacht owner is thrown overboard and loses his memory, a mistreated employee convinces him that he is her working-class husband.","28,570",$50.32M,5.9,42        
Forgetting Sarah Marshall,"
Comedy, Drama, Romance            ",111 min,(2008),"
    Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.","251,278",$63.17M,7.1,67        
Elf,"
Comedy, Family, Fantasy            ",97 min,(2003),"
    After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.","194,798",$173.40M,6.9,64        
Gavin & Stacey,"
Comedy, Romance            ",29 min,(2007– ),"
    Gavin and Stacey have been continuing their romance on-line and by telephone for the last six months. Now they want to be together but will their friends and family let them?","13,782",,8.0,
A Christmas Movie Christmas,"
Comedy, Fantasy, Romance            ",85 min,(2019 TV Movie),"
    Two cute sisters live together. One loves Christmas movies and the other calls them predictable. They meet. They fall in love. It snows. The end. This time's different. They magically wake up in a Christmas movie.",108,,6.0,
90210,"
Comedy, Drama, Romance            ",60 min,(2008–2013),"
    A Kansas family relocates to Beverly Hills, where their two children adapt to the infamous social drama of West Beverly Hills High.","40,859",,6.1,
Knocked Up,"
Comedy, Romance            ",129 min,(2007),"
    For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","336,204",$148.73M,6.9,85        
Some Like It Hot,"
Comedy, Music, Romance            ",121 min,(1959),"
    When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","226,318",$25.00M,8.2,97        
Someone Great,"
Comedy, Romance            ",92 min,(2019),"
    After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","13,093",,6.2,63        
She's Out of My League,"
Comedy, Romance            ",104 min,(2010),"
    An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","119,101",$31.58M,6.4,46        
Sweet Home Alabama,"
Comedy, Romance            ",108 min,(2002),"
    A young woman who's reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation.","97,072",$127.22M,6.2,45        
She's All That,"
Comedy, Romance            ",95 min,(1999),"
    A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.","79,795",$63.37M,5.9,51        
Youth,"
Comedy, Drama, Music            ",124 min,(I) (2015),"
    A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.","66,145",$2.70M,7.3,64        
Enchanted,"
Animation, Comedy, Family            ",107 min,(2007),"
    A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.","167,910",$127.81M,7.0,75        
Singin' in the Rain,"
Comedy, Musical, Romance            ",103 min,(1952),"
    A silent film production company and cast make a difficult transition to sound.","202,470",$8.82M,8.3,99        
Sex and the City 2,"
Comedy, Drama, Romance            ",146 min,(2010),"
    While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","70,531",$95.35M,4.5,27        
Ugly Betty,"
Comedy, Drama, Romance            ",60 min,(2006–2010),"
    Smart but wholesome Betty embraces her unique appearance and independent attitude in the cutthroat world of New York fashion.","38,069",,6.5,
Swiss Army Man,"
Comedy, Drama, Fantasy            ",97 min,(2016),"
    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.","95,343",$4.21M,7.0,64        
50 First Dates,"
Comedy, Drama, Romance            ",99 min,(2004),"
    Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.","309,222",$120.91M,6.8,48        
Victorious,"
Comedy, Drama, Family            ",30 min,(2010–2013),"
    Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.","17,560",,6.8,
Bad Teacher,"
Comedy, Romance            ",92 min,(2011),"
    A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.","184,082",$100.29M,5.6,47        
Love,"
Comedy, Drama, Romance            ",50 min,(2016–2018),"
    A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment and other things they were hoping to avoid.","32,893",,7.7,
Bill & Ted's Excellent Adventure,"
Adventure, Comedy, Music            ",90 min,(1989),"
    Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.","102,937",$40.49M,6.9,44        
The Escort,"
Comedy, Drama, Romance            ",88 min,(IV) (2016),"
    Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.","10,557",,6.0,
Step by Step,"
Comedy, Family, Romance            ",30 min,(1991–1998),"
    Two families become one, step by step.","11,522",,6.5,
The Cosby Show,"
Comedy, Family, Romance            ",30 min,(1984–1992),"
    The goings-on in the life of a successful African-American family.","29,559",,7.4,
The Life Aquatic with Steve Zissou,"
Action, Adventure, Comedy            ",119 min,(2004),"
    With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","168,954",$24.01M,7.3,62        
Up in the Air,"
Comedy, Drama, Romance            ",109 min,(I) (2009),"
    Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire.","304,675",$83.82M,7.4,83        
Second Act,"
Comedy, Drama, Romance            ",103 min,(2018),"
    A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.","16,788",$39.28M,5.8,46        
The Other Woman,"
Comedy, Romance            ",109 min,(2014),"
    After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.","124,879",$83.91M,6.0,39        
Warm Bodies,"
Comedy, Horror, Romance            ",98 min,(2013),"
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.","211,193",$66.38M,6.9,60        
Trainwreck,"
Comedy, Drama, Romance            ",125 min,(2015),"
    Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","123,811",$110.21M,6.2,75        
How to Lose a Guy in 10 Days,"
Comedy, Romance            ",116 min,(2003),"
    Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.","195,209",$105.81M,6.4,45        
The Great Race,"
Action, Adventure, Comedy            ",160 min,(1965),"
    In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.","15,061",$25.33M,7.2,71        
Adventures in Babysitting,"
Adventure, Comedy, Crime            ",102 min,(1987),"
    A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.","34,772",$34.37M,6.9,45        
Dick Tracy,"
Action, Comedy, Crime            ",105 min,(1990),"
    The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.","54,347",$103.74M,6.1,
That Awkward Moment,"
Comedy, Romance            ",94 min,(2014),"
    Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?""","93,631",$26.05M,6.1,36        
A Night at the Roxbury,"
Comedy, Music, Romance            ",82 min,(1998),"
    Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.","54,091",$30.32M,6.3,26        
"Oh, Ramona!","
Comedy, Romance            ",109 min,(2019),"
    A teenager named Andrei transitions from a teenager into an adult.","5,943",,4.9,
Little Italy,"
Comedy, Romance            ",102 min,(2018),"
    A young couple must navigate a blossoming romance, amidst a war between their families' competing pizza restaurants.","7,468",$0.99M,5.7,28        
Sex Drive,"
Comedy, Romance            ",109 min,(2008),"
    A high school senior drives cross-country with his best friends to hook up with a babe he met online.","80,664",$8.40M,6.5,49        
The Big Sick,"
Comedy, Drama, Romance            ",120 min,(2017),"
    Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","108,326",$42.87M,7.6,86        
Bridget Jones's Diary,"
Comedy, Drama, Romance            ",97 min,(2001),"
    A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.","210,895",$71.54M,6.7,66        
Zack and Miri Make a Porno,"
Comedy, Romance            ",101 min,(2008),"
    Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.","167,654",$31.46M,6.5,56        
Joey,"
Comedy, Romance            ",22 min,(2004–2006),"
    In this spin-off of ","39,569",,5.9,
Mother's Day,"
Comedy, Drama, Romance            ",118 min,(I) (2016),"
    Three generations come together in the week leading up to Mother's Day.","29,813",$32.46M,5.7,18        
Just Friends,"
Comedy, Romance            ",96 min,(I) (2005),"
    While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.","99,423",$32.62M,6.2,47        
You Me Her,"
Comedy, Drama, Romance            ",28 min,(2016– ),"
    Centers around a three-way romantic relationship involving a loving suburban married couple and another woman.","7,543",,7.1,
Something Borrowed,"
Comedy, Drama, Romance            ",112 min,(2011),"
    Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.","55,150",$39.05M,5.9,36        
Hairspray,"
Comedy, Drama, Musical            ",117 min,(2007),"
    Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.","114,572",$118.87M,6.6,81        
Private School,"
Comedy, Romance            ",89 min,(1983),"
    Christine (Phoebe Cates), a student at an exclusive all-girls private school, is in love with Jim, who attends an academy for boys nearby. Christine's arch rival Jordan also has her eye on ...                ","5,364",$14.05M,5.3,25        
High School Musical,"
Comedy, Drama, Family            ",98 min,(2006 TV Movie),"
    A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.","74,597",,5.3,
Ladies in Black,"
Comedy, Drama, Romance            ",109 min,(2018),"
    Adapted from the bestselling novel by Madeleine St John, Ladies in Black is an alluring and tender-hearted comedy drama about the lives of a group of department store employees in 1959 Sydney.","3,602",,6.7,65        
Aloha,"
Comedy, Drama, Romance            ",105 min,(I) (2015),"
    A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.","56,854",$20.99M,5.4,40        
Set It Up,"
Comedy, Romance            ",105 min,(2018),"
    Two corporate executive assistants hatch a plan to match-make their two bosses.","34,913",,6.5,62        
Hitch,"
Comedy, Romance            ",118 min,(I) (2005),"
    While helping his latest client woo the woman of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.","282,292",$179.50M,6.6,58        
The Proposal,"
Comedy, Drama, Romance            ",108 min,(I) (2009),"
    A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.","277,935",$163.96M,6.7,48        
Vicky Cristina Barcelona,"
Comedy, Drama, Romance            ",96 min,(2008),"
    Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.","230,889",$23.22M,7.1,70        
The Spectacular Now,"
Comedy, Drama, Romance            ",95 min,(2013),"
    A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","136,595",$6.85M,7.1,82        
About a Boy,"
Comedy, Drama, Romance            ",101 min,(2002),"
    A cynical, immature young man is taught how to act like a grown-up by a little boy.","164,286",$41.39M,7.0,75        
P.S. I Love You,"
Comedy, Drama, Romance            ",126 min,(2007),"
    A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.","193,525",$53.70M,7.0,39        
Lois & Clark: The New Adventures of Superman,"
Adventure, Comedy, Drama            ",46 min,(1993–1997),"
    In addition to fighting evil, Superman has a burning romance with Lois Lane in both his identities.","19,671",,6.7,
Annie Hall,"
Comedy, Romance            ",93 min,(1977),"
    Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.","239,952",$39.20M,8.0,92        
According to Jim,"
Comedy, Romance            ",30 min,(2001–2009),"
    A television show centered around a macho everyman, his loving wife, and their three precocious children.","32,700",,6.4,
The Mask of Zorro,"
Action, Adventure, Comedy            ",136 min,(1998),"
    A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own.","159,270",$94.10M,6.7,63        
Career Opportunities,"
Comedy, Romance            ",83 min,(1991),"
    Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.","9,090",$11.34M,5.9,41        
Sabrina,"
Comedy, Drama, Romance            ",113 min,(1954),"
    A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","54,778",,7.7,72        
Ever After: A Cinderella Story,"
Comedy, Drama, Romance            ",121 min,(1998),"
    The Brothers Grimm arrive at the home of a wealthy Grande Dame who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor.","65,871",$65.71M,7.0,66        
13 Going on 30,"
Comedy, Fantasy, Romance            ",98 min,(2004),"
    A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.","153,684",$57.23M,6.1,57        
Vampire in Brooklyn,"
Comedy, Fantasy, Horror            ",100 min,(1995),"
    A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.","20,325",$19.75M,4.6,27        
Who's the Boss?,"
Comedy, Family, Romance            ",30 min,(1984–1992),"
    Tony Micelli, a retired baseball player, becomes the housekeeper of Angela Bower, an advertising executive in New York. Together they raise their kids, Samantha Micelli and Jonathon Bower, with help from Mona Robinson, Angela's man-crazy mother.","9,974",,6.5,
How to Be Single,"
Comedy, Drama, Romance            ",110 min,(2016),"
    A group of young adults navigate love and relationships in New York City.","76,005",$46.84M,6.1,51        
Book Club,"
Comedy, Drama, Romance            ",104 min,(I) (2018),"
    Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.","21,035",$68.57M,6.1,53        
Destination Wedding,"
Comedy, Drama, Romance            ",87 min,(2018),"
    The story of two miserable and unpleasant wedding guests, Lindsay and Frank, who develop a mutual affection despite themselves.","19,073",,6.0,46        
The Terminal,"
Comedy, Drama, Romance            ",128 min,(2004),"
    An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","374,078",$77.87M,7.3,55        
Christmas Perfection,"
Comedy, Drama, Fantasy            ",90 min,(2018 TV Movie),"
    As a kid, Darcy (Thompson) had no control over her family's holidays and thus, has grown up to be a Christmas control freak - so much so that she loses sight of what the holidays actually ...                ",379,,5.6,
Empire Records,"
Comedy, Drama, Music            ",90 min,(1995),"
    24 hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.","46,440",$0.30M,6.7,30        
Snow Bride,"
Comedy, Family, Romance            ",84 min,(2013 TV Movie),"
    Greta Kaine (Katrina Law) is always in search of juicy gossip. As a tabloid reporter of gossip in Los Angeles, it's her job to expose the rich and famous. So when word gets out that the ...                ","2,517",,6.8,
You're the Worst,"
Comedy, Drama, Romance            ",30 min,(2014– ),"
    Centers on two toxic, self-destructive people who fall in love and attempt a relationship.","21,515",,8.1,
Home Again,"
Comedy, Drama, Romance            ",97 min,(2017),"
    Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.","24,282",$27.02M,5.8,41        
Plus One,"
Comedy, Drama, Romance            ",99 min,(I) (2019),"
    In order to survive a summer of wedding fever, longtime single friends, Ben and Alice, agree to be each other's plus one at every wedding they've been invited to.","3,817",,6.6,66        
I Feel Pretty,"
Comedy, Romance            ",110 min,(2018),"
    A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?","42,564",$48.80M,5.5,48        
George of the Jungle,"
Action, Adventure, Comedy            ",92 min,(1997),"
    A man raised in the jungle by apes falls in love with a wealthy American heiress.","66,801",$105.26M,5.4,53        
Sex Tape,"
Comedy, Romance            ",94 min,(2014),"
    A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.","102,270",$38.54M,5.1,36        
The Sapphires,"
Biography, Comedy, Drama            ",103 min,(2012),"
    It's 1968, and four young, talented Australian Aboriginal girls learn about love, friendship and war when their all-girl group The Sapphires entertain the US troops in Vietnam.","12,373",$2.45M,7.0,67        
Awkward.,"
Comedy, Drama, Romance            ",22 min,(2011–2016),"
    An unpopular 15-year-old gains immediate, yet unwanted, popularity at her high school when the student body mistakes an accident she has for a suicide attempt.","41,318",,7.5,
The Nutty Professor,"
Comedy, Romance, Sci-Fi            ",95 min,(1996),"
    Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.","103,635",$128.81M,5.6,62        
27 Dresses,"
Comedy, Romance            ",111 min,(2008),"
    After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","147,023",$76.81M,6.1,47        
The Ugly Truth,"
Comedy, Romance            ",96 min,(2009),"
    An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.","193,409",$88.92M,6.4,28        
Paterson,"
Comedy, Drama, Romance            ",118 min,(2016),"
    A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.","58,286",$2.14M,7.4,90        
Crown for Christmas,"
Comedy, Romance            ",86 min,(2015 TV Movie),"
    After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temporary gig as the governess to a young girl who is part of a powerful family in Europe that lives in a castle.","3,195",,7.0,
Shakespeare in Love,"
Comedy, Drama, History            ",123 min,(1998),"
    A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays.","204,136",$100.32M,7.1,87        
Splash,"
Comedy, Fantasy, Romance            ",111 min,(1984),"
    A young man is reunited with a mermaid who saved him from drowning as a boy. He falls in love with her, not knowing who or what she is.","64,574",$62.10M,6.2,71        
Cougar Town,"
Comedy, Romance            ",22 min,(2009–2015),"
    Follows the escapades and relationships of a group of neighbors living in Gulfhaven, Florida.","39,096",,6.9,
A Princess for Christmas,"
Comedy, Drama, Family            ",91 min,(2011 TV Movie),"
    At the invitation of an estranged relative, a young woman travels with her niece and nephew to a castle in Europe for Christmas, where she unwittingly falls for a dashing Prince.","6,131",,6.4,
Be Cool,"
Comedy, Crime, Drama            ",118 min,(2005),"
    Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.","65,341",$56.05M,5.6,37        
Overboard,"
Comedy, Romance            ",106 min,(1987),"
    A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her they're husband and wife.","48,846",$26.71M,6.9,53        
Happy Endings,"
Comedy, Romance            ",22 min,(2011–2013),"
    This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.","32,865",,7.7,
Click,"
Comedy, Drama, Fantasy            ",107 min,(2006),"
    A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.","288,555",$137.36M,6.4,45        
John Tucker Must Die,"
Comedy, Romance            ",89 min,(2006),"
    Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.","76,388",$41.01M,5.7,41        
She's the Man,"
Comedy, Romance, Sport            ",105 min,(2006),"
    When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.","139,140",$2.34M,6.3,45        
A Cinderella Story,"
Comedy, Family, Romance            ",95 min,(2004),"
    Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","76,391",$51.44M,5.9,25        
High School DxD,"
Animation, Action, Comedy            ",23 min,(2012– ),"
    After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","5,235",,7.7,
Tootsie,"
Comedy, Drama, Romance            ",116 min,(1982),"
    Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","91,147",$177.20M,7.4,88        
Steel Magnolias,"
Comedy, Drama, Romance            ",117 min,(1989),"
    A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold.","43,121",$83.76M,7.3,56        
The Wedding Singer,"
Comedy, Music, Romance            ",100 min,(1998),"
    Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.","127,119",$80.25M,6.8,59        
Rumor Has It...,"
Comedy, Drama, Romance            ",97 min,(2005),"
    Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.","49,975",$43.00M,5.5,35        
Rock of Ages,"
Comedy, Drama, Musical            ",123 min,(2012),"
    A small town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.","70,804",$38.52M,5.9,47        
The Duff,"
Comedy, Romance            ",101 min,(2015),"
    A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","77,071",$34.02M,6.5,56        
Baby Daddy,"
Comedy, Drama, Family            ",22 min,(2012–2017),"
    A 20-something bachelor bartender becomes an unlikely parent when an ex-girlfriend leaves a baby girl on his doorstep.","18,091",,7.4,
To Catch a Thief,"
Comedy, Mystery, Romance            ",106 min,(1955),"
    A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.","58,184",$8.75M,7.4,
Grease 2,"
Comedy, Drama, Musical            ",115 min,(1982),"
    An English student at a 1960s American high school has to prove himself to the leader of a girls' gang whose members can only date greasers.","30,935",$15.17M,4.4,52        
It's Kind of a Funny Story,"
Comedy, Drama, Romance            ",101 min,(2010),"
    A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.","128,058",$6.35M,7.1,63        
Risky Business,"
Comedy, Crime, Drama            ",99 min,(1983),"
    A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.","75,275",$63.50M,6.8,75        
The Christmas Cottage,"
Comedy, Drama, Romance            ",90 min,(2017 TV Movie),"
    Any couple who spends the night in the Christmas cottage shall have love everlasting - Lacey Quinn did not believe in happily ever after or the legend of the Christmas cottage. As maid of ...                ","1,227",,6.4,
Norbit,"
Comedy, Romance            ",102 min,(2007),"
    A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her.","64,328",$95.67M,4.0,27        
NewsRadio,"
Comedy, Romance            ",23 min,(1995–1999),"
    The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station.","12,390",,7.9,
High Fidelity,"
Comedy, Drama, Music            ",113 min,(2000),"
    Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","160,315",$27.28M,7.5,79        
